area_detail,ward_name
"cottonpete main road,  subramanya galli, thalakadu subramanya lane, k.v.lane, munsooraiah lane,  k k lane, p s lane, otc road, akkipete main road",unknown
"mill road, n.p.lane,  m.m.lane, n. m. galli , muniramanna galli, subbanna chari galli, shetty muddanna galli, g.b.lane, annaiappa lane, obaiah lane",unknown
"cottonpete main road,  subramanya galli, thalakadu subramanya lane, k.v.lane, munsooraiah lane,  k k lane, p s lane, otc road, akkipete main road mill road, n.p.lane,  m.m.lane, n. m. galli , muniramanna galli, subbanna chari galli, shetty muddanna galli, g.b.lane, annaiappa lane, obaiah lane bakhsi garden, mini bakshigarden, velumurgapuram",unknown
"t.n.shetty lane,m.p.lane,a.m.lane,d.k.lane 1st & 2nd cross, kote lane,",unknown
"d.k.lane, otc road, mamulpete, bandimutt road",unknown
"jolly mohalla,cart stand rd, k.p.lane,msk lane,bdg lane, h.ramaiah lane, police road, pvr road, manavarthpete, mothersob lane, sulthanpete, m.r.lane, s.k.rmkt , shankar devara galli, k.v.temple street, p.s.lane, santhusa pete, sourashtrapete 1st & 2nd cross, otc road,",unknown
"r.t street, maramma temple, kilari road, hospital road, anchepete",unknown
"bvk iyengar road,kilari road, r.t.street, lakshmanrao road, hospital road, malikarjuna temple street, huriopete, uttardhini mutt road, am lane",unknown
"racecourse road, crescent road, srikantaiah layout, kumar krupa road, madhavanagar, kumar park west",unknown
"palace road cross, vidhana soudha, ms building ,sankey road, abshot  layout, fair field layout, 1st main, 2nd main cross road of gandhinagar & 3rd main, 5th main cross road of gandhinagar",unknown
"palace road side of maharani's college k.r.circle, govt. office colleges nrupathunga rd, rbi, st.marths hospital high court, ms blg pwd office",unknown
"cunningham road, mount carmel college, palace road & cross",unknown
"lakshmanpuri slum, kenchappa garden, anandrao circle, police quarters, south side, seshadri road & cross",unknown
"bulk supply to railway, ksrtc, bmtc & khoday factory police qtrs ayurvedic hospital, bmtc",unknown
bashyam park,subhashnagar
"southside seshadri rd,  r.k.puram 1st cross & 2nd cross, tank bumd road",unknown
"vikas soudha, a.g.office central colleges, maharani college, m.s.building",unknown
"k.r.circle, govt office & colleges nrupathunga rd, rbi ,st.marthas hospital, high court, pwd office",unknown
cubbonpete,cottonpet
"avenue road, cubbonpete, mill road, j m road, pappana lane, sanjeevappa galli, a t street, sanjeevappa galli",unknown
"s r nagar, 1st main, 16th cross, 14th cross, 11th cross, 12th cross, 6th cross, 7th cross,",unknown
"karagappa garden 1st, 2nd cross, 3rd , 4th",unknown
"s p road, tigaralapete, sjp road, nagarthapete main road upto neeladri lodge end.",unknown
"lalbagh road 1st, 2nd, 3rd, 4th cross ramanna garden, cks garden",unknown
"kumabarapete, a t street, papanna lane, mbt street",unknown
"ramanna garden, cks garden",aramane nagar
"srinivas colony 1st, 2nd cross, double road, cks garden, my school road",unknown
"mission compound, csi compound",unknown
"vasanthnagar, dobespet, miller's tank bund road, palace road.",unknown
"tasker town, payappa garden, cobbler colony, shivaji road, broadway road, chandini chowk road, chikkabazar.",unknown
"thimmaiah  road, saughter  house  roads, old  korachara palya.",unknown
"brodway  road,  blockpalli police  qutrs, e  no  1st  to  e no  10th  street,  rajiv gandhi colony, g.c.colony,",unknown
"sulthan  nagara, lal  majid a,b, and  c  streets, dhankoti  line, new  market  road,",unknown
"infantry road, ali askar road, millers  road,  palace  road.",unknown
"hospital road, lady curzon road, dispensary road, kamraj road, oph road.",unknown
"kamraj road, gangadhar chetty road, dickenson road,",unknown
"lavellee road, st.mark's, vittal mallya road, grant road, kasthuraba road.",unknown
"kariappa colony, supply depot.",gurappanapalya
frazer town.,arakere
"nehrupuram, thimmaiah road, cook's road, sepping's road, narayana pillai street, makkan road, bharathinagar.",unknown
"shivan chetty garden, police lane, clarkspet, st.john's road, osborne layout, rukmini colony, anna swamy modaliar road.",unknown
"m.e.g, assaye parade.",ramaswamy palya
bda layout and karimariyamma nagar 1 to 4th cross,jayachamarajendra nagar
"shivaraj road ,kupum compound,s r block",unknown
"anwar layout ,s r block 1,2,3 rd cross",unknown
chikkanna layout,hsr layout
ramatent roadall cross 1 st main kushalnagar,jayachamarajendra nagar
kushal nagar half area,kushalnagar
"coffe board colony ,bnc block",unknown
sopiya high school,unknown
"126,2 nd sopiya high school",unknown
1 and  2nd main vishweshwarnagar and kaveri nagar,muneshwaranagar
"1,2,3,4,5,6, cross dubia layout and anwar school road",unknown
1 st to 9 th cross muneshwar nagar and 1 st cross basavanagar and ashoka nagar,unknown
"kushal nagar 6 th to 11 th cross saukar lane,basavanagar 1,2,3, cross visweshwar nagar 10 th to 14 th cross",unknown
1st to 9 th cross muslim colony and 2 nd stage garden,unknown
anwar layout and 1 st main doddannanagar,aramane nagar
basavanagar,basaveshwaranagar
"periyar nagar ,a  k colony ,",jayanagar east
"gova garden ,sonnappa block all crosses , ,zia street",unknown
"chikkanna lane ,doddnna lane ,ayyodas nagar all crosses",unknown
"malik sab road all crosses .jani bia lane , old mandraso factory ,",unknown
"shadab nagar ,lababin masjid all crosses",unknown
"modi road all crosses ,hushaniya masjid,ac flat panjab lane all crosses ,mission compound all crosses,",unknown
"edga mola,bangara giri ,subramanya temple,kaliyappa street,",banashankari temple ward
"sonnappa block, church rd, parijatha 11th 12th 13th",unknown
"hidayath nagara, mukthinagara, lidkar colony, sate lane chuna 1, 2 & 3, gandhinagar, samadhana nagara, basavanagar 1st and 4th cross",unknown
"makk maszid, gas bunk, taha masjid, sophia school, aat dukan.",unknown
"tegraph street,",yelahanka satellite town
2nd cross arogyamm layout,hsr layout
railway layout,kumaraswamy layout
1st stg bagalur layout,hsr layout
railway layout 1st and 2nd cross,kumaraswamy layout
"9th, and 8th main, 3rd stg",shanthinagar
village quatress,laggere
"basavanagara, muneshwaranagara",basaveshwaranagar
vinoba nagra,vignananagar
"ramaradevastana rd, vinayaka street,",rajarajeshwarinagar
3rd stg 2nd main rd (4th 5th 6th 7th cross),unknown
gas bunk main rd,ganeshmandira ward
3rd stg 10nd main rd someshwara layout 9th 8th 1st 3rd 4th 5th  main,unknown
"parijatha, janatha video, arogyamma layout, mariyamma devastana",unknown
ubeba nagra,subhashnagar
"arogyamma lauout, tempo stand layout",kumaraswamy layout
"gandhinagara, samadhananagara",gandhinagar
"coles road crosses, coles road, b,c,d, e and f street street, sindhi colony",unknown
"moore road, ahmed sait road, mosque road, mm road",unknown
"mosque road crosses, robert son road.",unknown
"stephens road, haines road, netaji road, spencer road, promenade road, kemp road and surrounding areas",unknown
"williams town 11,10 ,9 and 8th cross",unknown
williams town 1st to 7 crosses,unknown
bedarahally a b c and d crosses,bellandur
"benson town, bore bank road miller road and surrounding areas",unknown
"5th, 6th, 7th, 7th a, 16th b cross,visveshwaraiah road, ragavappa road, mudappa road, kemapanna raod, venkataramanappa road, kullappa road, mariyamma temple street , subaraju road, sarswathama road",unknown
mudamma garden 2nd and 3rd cross (khb qtrs),unknown
"raghavappa road 8th cross, kandaswamy garden, marry street, krishnappa lane 2nd, 3rd, 4th, 5th, 6th and 7th cross, rose garden, k r garden 2nd stage, jeevanahalli main road, chinnappa line 1st,2nd, 3rd cross, 7th cross cox town doddigunte",unknown
"vivekananada nagar and jaibharthangar 1st, 2nd, 3rd and 4thcross, shaw layout",unknown
kathalipalya,kamakshipalya
"khb qtrs, kateramma slum in cox town",yelahanka satellite town
7th cross in cox town,unknown
"psk naidu road, g muniyamma garden, rayappa garden, mudappa garden, mudamma garden, nanjundappa garden, rangamma garden and n c colony in  cox town",unknown
chettappa garden,hampinagar
"de costa square, wheeler road extension, c k garden, hutchins road and cross roads, thomas town, ashoka road, north road",unknown
"de costa layout, balaji layout, wheeler road, davis road, ashoka extension, c k garden, hutchins road and cross roads, thomas town, ashoka road, lazer road, gangmen qtrs, bsnl office, and railway parallel road cox town",unknown
"milton street, high street, carlston street, llyod road, lewis road,  mc pherson road, etc cooke's town",unknown
"muniga layout, venkataramanppa layout, delhi narayanappa layout , thyagaraj layout, sanjeevappa layout",unknown
"7th,6th,5th,4th,3rd,2nd and 1st cross itc colony jeevanahalli, k r garden, park road, ak colony, charles campbel road, ramakrishnappa road cox town",unknown
kadirappa road 5th and 6th cross cox town,unknown
mudamma garden,sudamnagar
"hbr layout, 1st block to 5th block",hbr layout
narwara cmc areas,jayanagar east
"hrbr 3rd block, k k halli & surrounding areas",unknown
lingarajpuram village,lingarajapura
hrbr i &ii block,hbr layout
"rs palya , itc road & kullappa  circle (up)",unknown
kammanahalli,kammanahalli
ombr layout,hbr layout
"kasturinagar, east of ngef layout, b channasandra, dr. layout, lal bhaddur nagar",unknown
banasawadi village downside,banashankari temple ward
viya bank colony & green park layout,nandini layout
2nd block hrbr l/o,hbr layout
"r s palya, oill mill road & surrounding areas",unknown
"jankiram layout, kanakadasa layout",manorayanapalya
"banasawadi village upper, krishna reddy layout & gopal reddy layout",unknown
"chikka banasawadi, jai javan nagar",basaveshwaranagar
kammanahalli village,kammanahalli
hrbr 1st block(service road),unknown
"subbaiahna palya, kullappa circle down",unknown
nagawara cmc areas,jayanagar east
hennur cmc areas,k.r. market
"rs palya , itc road & kullappa  circle( up)",unknown
"sunshine l/o , sai ram l/o ,bank colony, mukthi vinayaka l/o",unknown
"muniyappa garden  l/o , oil mill road , kumbar beedi , k v  l/o, v b l/o ,  new bazaar street , anandapura",unknown
"urban cluster l/o, nisarga l/o , s r l/o, p & t l/o",unknown
"subhash nagar , bosco nagar , sharavathi l/o ,  manjunath l/o , j b l/o ,",unknown
"bhatarahalli ,bhanashankari l/o ,bhuvaneshwari l/0  , r m s colony , t c palya, manjunath l/o",unknown
"bayanna l/o , peerless colony, ajith l/o , vinayaka l/o,pataki godown, brundavan l/o",unknown
no supply,jogupalya
"j b l/o , vinayaka l/o, sunshine l/o",unknown
"ajith l/o, r m s colony , sai ram l/o , urban cluster l/o, sai ram l/o",unknown
"bhanashankari l/o, anandapura ,p & t l/o",banashankari temple ward
"k v l/o, v b l/o , muniyappa garden  l/o , oil mill road , kumbar beedi , new bazaar street",unknown
"nisarga l/o , s r l/o",unknown
"subhash nagar, bhatarahalli , bosco nagar, t c palya",unknown
"swatantra nagar, rr temple road, singaiyanapalya",banashankari temple ward
"vinayak nagar , priyadarshini l/o",jayanagar east
"manjunath l/o, thippaih l/o ,",unknown
"rr temple road,",radhakrishna temple ward
"bhimmaih  l/o ,triveni nagar, rajiv gandhi nagar,",unknown
"friends road,lashkmi tent road netravathi l/o,",unknown
"b narayanapura ,kamadhenu l/o, ramakrishna reddy layout",unknown
"vinayak nagar , bazaar street , lakmipura badavane,",unknown
"amar jyothi school road ,krishna nagar, manjunath l/o,",unknown
"navadeep school  road , gokul l/o, masjid road",unknown
"little bloom school road, achari bande ,mecca masjid road",unknown
