Area Wise Water Supply timings ,,,,,
SI NO,Subdivision,service Station,Area(in Detail),Days of Supply,Timings
1,C-1,CHIKKALALBAGH 1 & 2,"Cottonpete Main Road,  Subramanya galli, Thalakadu Subramanya Lane, K.V.Lane, Munsooraiah Lane,  K K Lane, P S Lane, OTC Road, Akkipete main road",Daily,"6.30 PM TO 9.00 PM            Ward No.94, 109 & 120          "
2,,,"Mill Road, N.P.Lane,  M.M.Lane, N. M. Galli , Muniramanna Galli, Subbanna Chari Galli, Shetty Muddanna Galli, G.B.Lane, Annaiappa Lane, Obaiah lane",,9.00 PM TO 11.00 PM               Ward No.120
3,,,"Cottonpete Main Road,  Subramanya galli, Thalakadu Subramanya Lane, K.V.Lane, Munsooraiah Lane,  K K Lane, P S Lane, OTC Road, Akkipete main road Mill Road, N.P.Lane,  M.M.Lane, N. M. Galli , Muniramanna Galli, Subbanna Chari Galli, Shetty muddanna Galli, G.B.Lane, Annaiappa Lane, Obaiah lane Bakhsi garden, Mini Bakshigarden, Velumurgapuram",,11.00 PM TO 5.00 AM               Ward No.120
4,,,"T.N.Shetty Lane,M.P.Lane,A.M.Lane,D.K.Lane 1st & 2nd Cross, Kote Lane,",,5.00 PM TO 7.00 PM       Ward No.109
5,,," D.K.Lane, OTC road, Mamulpete, Bandimutt road",,7.00 PM TO 10.30 PM           Ward No.109
6,,,"Jolly Mohalla,Cart Stand Rd, K.P.Lane,MSK Lane,BDG Lane, H.Ramaiah Lane, Police Road, PVR Road, Manavarthpete, Mothersob Lane, Sulthanpete, M.R.Lane, S.K.RMkt , Shankar Devara Galli, K.V.Temple Street, P.S.Lane, Santhusa pete, Sourashtrapete 1st & 2nd cross, OTC Road, ",Alternave,"4.00 AM TO 8.00 AM             Ward No.139,   Ward No.120 & Ward No.109              "
7,,,"R.T Street, Maramma temple, Kilari road, Hospital road, Anchepete",,5.30 AM TO 8.00 AM           Ward No.109
8,,,"BVK Iyengar Road,Kilari Road, R.T.Street, Lakshmanrao Road, Hospital Road, Malikarjuna temple street, Huriopete, Uttardhini mutt road, AM Lane",,5.30 AM TO 11.00 AM               Ward No.109
9,,LLR,"Racecourse road, Crescent Road, Srikantaiah layout, Kumar Krupa Road, Madhavanagar, Kumar park west",Daily,8.00 AM TO 3.00 PM  
10,,,"Palace road cross, Vidhana Soudha, MS Building ,Sankey road, Abshot  layout, Fair field layout, 1st main, 2nd main cross road of Gandhinagar & 3rd main, 5th main cross road of Gandhinagar",,12.00 PM TO 3.00 PM 
