Ward number ,Ward Name,Number of Connections,Consumption in ML
1,Kempegowda Ward,4418,109.74
2,Chowdeshwari Ward,467,56.01
3,Attur,6800,171.05
4,Yelahanka Satellite town,7814,368.22
5,Jakkur,4165,110.83
6,Thanisandra,4794,88.40
7,Byatarayanapura,9781,285.57
8,Kodigehalli,5529,130.32
9,Vidyaranyapura,12972,274.02
10,Doddabommasandra,1921,30.17
11,Kuvempunagar,4640,64.55
12,Shettyhalli,11814,180.95
13,Mallasandra,4565,62.17
14,Bagalagunte,8844,208.85
14,sidedahalli,1628,40.44
15,T. Dasarahalli,4603,133.91
16,Jalahalli,3117,89.21
17,J.P.Park,5749,120.05
18,Radhakrishna Temple Ward,5513,91.10
19,Sanjaynagar,5841,82.66
20,Ganganagar,3351,70.47
21,Hebbal,7512,160.69
22,VishwanathNagenahalli,3290,73.64
23,Nagavara,9267,187.37
24,HBR Layout,8252,236.07
25,Horamavu,16181,165.27
26,Ramamurthynagar,9578,245.88
27,Banasawadi,9718,260.34
28,Kammanahalli,6641,167.48
29,Kacharakanahalli,4902,120.16
30,Kadugondanahalli,5174,128.60
31,Kushalnagar,3147,54.10
32,Kavalbyrasandra,5595,103.15
33,Manorayanapalya,2742,60.88
34,Gangenahalli,2324,47.61
35,Aramane Nagar,2976,76.86
36,Mathikere,4158,87.41
37,Yeshwanthpur,3239,59.30
38,H.M.T,3695,136.51
39,Chokkasandra,5838,133.80
40,Doddabidirakalu,1,0.00
41,Peenya Industrial Area,10886,236.64
42,Lakshmidevinagar,5165,107.14
43,Nandini Layout,6476,151.01
44,Marappanahalli,4451,110.91
45,Malleshwaram,3662,98.22
46,Jayachamarajendra Nagar,5336,178.74
47,Devarajeevanahalli,3784,79.48
48,Muneshwaranagar,2190,34.67
49,Lingarajapura,5774,91.75
50,Benniganahalli,5874,361.26
51,Vijinapura,6346,122.86
52,K.R.Puram,8953,173.05
53,Basavanapura,8707,201.81
54,Hoodi,5427,343.15
55,Devasandra,3364,84.27
56,A. Narayanapura,8456,220.21
57,C.V. Ramannagar,3324,73.92
58,Hosathippasandra,6026,144.13
59,Maruthiseva Nagar,5590,158.47
60,Sagayapuram,4268,90.41
61,S.K. Garden,2875,74.27
62,Ramaswamy palya,3131,73.42
63,Jayamahal,3085,117.16
64,Rajamahal,3702,84.92
65,Kadumalleshwara,5615,146.84
66,Subramanyanagar,4292,113.37
67,Nagapura,5814,168.34
68,Mahalakshmipuram,5114,127.69
69,Laggere,10211,230.88
70,Rajagopalanagar,8396,181.46
71,Hegganahalli,8695,219.79
72,herohalli,11904,246.36
73,Kottigepalya,8532,199.53
74,Shakthiganapathi nagar,6112,149.78
75,Shankaramata,5220,142.00
76,Gayathrinagar,4385,111.43
77,Dattathreya Temple,4485,109.83
78,Pulikeshinagar,3641,119.25
79,Sarvagnanagar,3370,73.15
