ward_number,ward_name,num_connections,consumption_ml,ward_name_clean,timing_length,subdivision,service_station,days_supply,consumption_per_conn
1,Kempegowda Ward,4418,109.74,KEMPEGOWDA WARD,4.0,North East - 3,Manorayanna palya service station,1,0.024839293798098686
2,Chowdeshwari Ward,467,56.01,CHOWDESHWARI WARD,4.0,North East - 3,Manorayanna palya service station,1,0.11993576017130621
3,Attur,6800,171.05,ATTUR,4.0,North East - 3,Manorayanna palya service station,1,0.025154411764705883
4,Yelahanka Satellite town,7814,368.22,YELAHANKA SATELLITE TOWN,4.0,North East - 3,Manorayanna palya service station,1,0.04712311236242642
5,Jakkur,4165,110.83,JAKKUR,4.0,North East - 3,Manorayanna palya service station,1,0.02660984393757503
6,Thanisandra,4794,88.4,THANISANDRA,4.0,North East - 3,Manorayanna palya service station,1,0.01843971631205674
7,Byatarayanapura,9781,285.57,BYATARAYANAPURA,4.0,North East - 3,Manorayanna palya service station,1,0.029196401185972803
8,Kodigehalli,5529,130.32,KODIGEHALLI,4.0,North East - 3,Manorayanna palya service station,1,0.023570265870862722
9,Vidyaranyapura,12972,274.02,VIDYARANYAPURA,4.0,North East - 3,Manorayanna palya service station,1,0.02112395929694727
10,Doddabommasandra,1921,30.17,DODDABOMMASANDRA,4.0,North East - 3,Manorayanna palya service station,1,0.015705361790733993
11,Kuvempunagar,4640,64.55,KUVEMPUNAGAR,4.0,North East - 3,Manorayanna palya service station,1,0.013911637931034481
12,Shettyhalli,11814,180.95,SHETTYHALLI,4.0,North East - 3,Manorayanna palya service station,1,0.01531657355679702
13,Mallasandra,4565,62.17,MALLASANDRA,4.0,North East - 3,Manorayanna palya service station,1,0.013618838992332969
14,Bagalagunte,8844,208.85,BAGALAGUNTE,4.0,North East - 3,Manorayanna palya service station,1,0.023614880144730892
14,sidedahalli,1628,40.44,SIDEDAHALLI,4.0,North East - 3,Manorayanna palya service station,1,0.02484029484029484
15,T. Dasarahalli,4603,133.91,T. DASARAHALLI,4.0,North East - 3,Manorayanna palya service station,1,0.029091896589180967
16,Jalahalli,3117,89.21,JALAHALLI,4.0,North East - 3,Manorayanna palya service station,1,0.0286204683991017
17,J.P.Park,5749,120.05,J.P.PARK,4.0,North East - 3,Manorayanna palya service station,1,0.02088189250304401
18,Radhakrishna Temple Ward,5513,91.1,RADHAKRISHNA TEMPLE WARD,4.0,North East - 3,Manorayanna palya service station,1,0.01652457826954471
19,Sanjaynagar,5841,82.66,SANJAYNAGAR,4.0,North East - 3,Manorayanna palya service station,1,0.014151686355076186
20,Ganganagar,3351,70.47,GANGANAGAR,4.0,North East - 3,Manorayanna palya service station,1,0.021029543419874664
21,Hebbal,7512,160.69,HEBBAL,4.0,North East - 3,Manorayanna palya service station,1,0.021391107561235356
22,VishwanathNagenahalli,3290,73.64,VISHWANATHNAGENAHALLI,4.0,North East - 3,Manorayanna palya service station,1,0.022382978723404254
23,Nagavara,9267,187.37,NAGAVARA,4.0,North East - 3,Manorayanna palya service station,1,0.02021905686845797
24,HBR Layout,8252,236.07,HBR LAYOUT,4.0,North East - 3,Manorayanna palya service station,1,0.028607610276296654
25,Horamavu,16181,165.27,HORAMAVU,4.0,North East - 3,Manorayanna palya service station,1,0.010213831036400717
26,Ramamurthynagar,9578,245.88,RAMAMURTHYNAGAR,4.0,North East - 3,Manorayanna palya service station,1,0.02567133013155147
27,Banasawadi,9718,260.34,BANASAWADI,4.0,North East - 3,Manorayanna palya service station,1,0.026789462852438772
28,Kammanahalli,6641,167.48,KAMMANAHALLI,4.0,North East - 3,Manorayanna palya service station,1,0.02521909351001355
29,Kacharakanahalli,4902,120.16,KACHARAKANAHALLI,4.0,North East - 3,Manorayanna palya service station,1,0.024512443900448797
30,Kadugondanahalli,5174,128.6,KADUGONDANAHALLI,4.0,North East - 3,Manorayanna palya service station,1,0.0248550444530344
31,Kushalnagar,3147,54.1,KUSHALNAGAR,4.0,North East - 3,Manorayanna palya service station,1,0.01719097553225294
32,Kavalbyrasandra,5595,103.15,KAVALBYRASANDRA,4.0,North East - 3,Manorayanna palya service station,1,0.018436103663985702
33,Manorayanapalya,2742,60.88,MANORAYANAPALYA,4.0,North East - 3,Manorayanna palya service station,1,0.022202771699489424
34,Gangenahalli,2324,47.61,GANGENAHALLI,4.0,North East - 3,Manorayanna palya service station,1,0.020486230636833046
35,Aramane Nagar,2976,76.86,ARAMANE NAGAR,4.0,North East - 3,Manorayanna palya service station,1,0.025826612903225805
36,Mathikere,4158,87.41,MATHIKERE,4.0,North East - 3,Manorayanna palya service station,1,0.021022126022126022
